PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Class1,Class2,Class3,Cherbourg,Queenstown,Southampton,Alone,FamSize,SameTickets,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_U,Master
1,0,0,0.26975,1,0,0.3381254838661527,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
2,1,1,0.46975,1,0,0.6858916529635944,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
3,1,1,0.31975,0,0,0.3507266966124076,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
4,1,1,0.43224999999999997,1,0,0.6394627518675874,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0
5,0,0,0.43224999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
6,0,0,0.29474999999999996,0,0,0.3600260242486264,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
7,0,0,0.66975,0,0,0.635754966338881,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
8,0,0,0.01975,3,1,0.495831873839879,0,0,1,0,0,1,0,4,4,0,0,0,0,0,1,1
9,1,1,0.33225,0,2,0.3999337912742492,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,0
10,1,1,0.16975,1,0,0.5506031046482882,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0
11,1,1,0.04475,1,1,0.46043946366130095,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0
12,1,1,0.71975,0,0,0.5313325505056177,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
13,0,0,0.24474999999999997,0,0,0.35295528405484916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
14,0,0,0.48224999999999996,1,5,0.556695873257052,0,0,1,0,0,1,0,6,7,0,0,0,0,0,1,0
15,0,1,0.16975,0,0,0.3494505372759428,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
16,1,1,0.68225,0,0,0.45397386041263804,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
